SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,customerID,Churn
0,1.2421318138420157,0.8120023036311275,1.4472630224918142,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1187-WILMM,0
0,-1.1188008067964355,-1.5125040551986266,-0.9536124521292417,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,4903-UYAVB,1
0,0.26519417771576004,-1.4760021709057967,-0.6622787889640525,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,4884-LEVMQ,0
0,-1.1595065416350294,1.2201597370873154,-0.8489613810171134,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0702-PGIBZ,1
0,1.1200146093262338,1.2019087949409006,1.6533839476696857,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,3716-LRGXK,0
0,-0.5489205190561197,1.273253386967795,-0.12577201894812187,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,5449-FIBXJ,1
0,-0.8745663977648716,1.2301147964399053,-0.5063552748353529,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,6688-UZPWD,1
1,-0.06045170099299184,1.1620885575305409,0.3893438088593547,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1254-IZEYF,1
0,-0.10115743583158582,0.642766294637098,0.061108027956093984,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0215-BQKGS,0
0,0.8350744654560759,-1.3382905165283026,-0.44771118404233,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,3785-KTYSH,0
0,-1.1188008067964355,0.8103431270723621,-0.8063330725955483,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,8481-YYXWG,1
1,0.7536629957788878,0.4868036981131887,0.7351311320875006,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0549-CYCQN,0
0,1.5677776925507676,0.8086839505135972,1.7943447719664205,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2194-IIQOF,0
0,1.1607203441648277,-1.3250171040581826,-0.3514629138182404,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,2481-SBOYW,0
1,-0.9966836022806536,0.31756768911915967,-0.7427745499515576,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3488-PGMQJ,1
0,-0.9152721326034655,-0.3311703453579522,-0.7593168785927619,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,8735-DCXNF,0
0,-0.8338606629262776,-0.5004063543519814,-0.7381233912354629,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,7176-WIONM,0
0,1.3642490183577978,-0.03583691789778363,0.8623359350871068,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,8548-AWOFC,0
0,-0.3453918448631497,-0.14866092389380306,-0.3767371347660752,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,6620-HVDUJ,0
0,-1.1595065416350294,-0.2797358720362375,-0.9057625598660234,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,8976-OQHGT,1
0,-1.1595065416350294,0.7970697146022425,-0.8530640540355553,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,4951-UKAAQ,1
0,0.1023712383613841,-0.30960105009400735,-0.1241265618551639,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,6693-DJWTY,0
1,0.5094285867473239,0.689223238282518,0.6488653015606894,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,6563-VNPMN,0
0,1.3235432835192036,1.495583045842304,2.123436190558019,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,6333-YDVLT,0
0,-0.7524491932490895,0.5299422886410788,-0.503086300077343,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,6551-GNYDG,0
0,1.1607203441648277,-0.4722003528529765,0.346386409019198,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2405-LBMUW,0
0,1.4456604880349857,0.5116913464946635,1.34963256830964,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,9541-ZPSEA,0
0,-0.38609757970174374,-0.2382564580671127,-0.4460218480935598,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,6543-JXSOO,0
0,0.9164859351332638,0.5515115839050234,0.9697952529712167,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,6968-GMKPR,0
0,1.4863662228735797,-1.3432680462045974,-0.2549952493150897,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,4195-PNGZS,0
0,-1.0373893371192475,0.5415565245524336,-0.754380507313888,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,4646-QZXTF,0
0,1.6084834273893616,0.4685527559667738,1.5056438401499639,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,7564-GHCVB,0
0,1.1607203441648277,-0.5053838840282764,0.29050668614234454,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1534-OULXE,0
1,1.2828375486806096,0.5100321699358986,1.192787598208884,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8348-JLBUG,0
1,-0.019745966154397852,0.9380997220972668,0.2771675139754317,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,8290-YWKHZ,1
0,-1.2816237461508113,0.4851445215544238,-0.9740161200819208,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6618-RYATB,1
0,-1.2002122764736234,0.5763992322864984,-0.9148454830191515,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0641-EVBOJ,0
0,-1.2002122764736234,-1.4842980536996218,-0.9867190488395567,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,3039-MJSLN,0
0,1.6084834273893616,0.6460846477546283,1.6661307552831337,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,8661-BOYNW,0
0,-0.2639803751859618,-1.1657361544167435,-0.6638145489174799,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4310-KEDTB,0
0,0.26519417771576004,1.1786803231181906,0.6592207115323717,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1116-DXXDF,0
0,-1.2816237461508113,-1.5058673489635668,-1.0003434335692487,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,8605-ITULD,0
0,-1.2816237461508113,-1.5075265255223318,-1.000365372997155,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,8566-YPRGL,0
0,0.9571916699718578,0.7954105380434776,1.1709798068702142,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,4355-CVPVS,0
1,0.428017117070136,1.4142833944628193,0.9805016937893966,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,8327-LZKAS,1
0,-1.2816237461508113,-1.3117436915880627,-0.9977765205042344,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,2080-SRCDE,0
0,-0.1418631706701798,0.1981069768880804,-0.1468777485937965,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,4903-CNOZC,0
0,-1.2409180113122174,0.5664441729339085,-0.9278994426232848,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,7314-OXENN,1
